# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.934
# max_sidebands: 5
# timestamp: 2025-12-16 13:54:25
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: CPR
# sweep_parameter: v_tau
# sweep_values: [0.338, 0.822, 0.882, 0.934, 1.0]
# outer_parallel: 4
v_tau,Phase (rad),Current (nA)
0.338,0.0,-0.0011029970491349002
0.338,0.04807692307692308,0.03827530225906554
0.338,0.09615384615384616,0.07756731969511167
0.338,0.14423076923076925,0.11669553923136494
0.338,0.19230769230769232,0.15559337891891728
0.338,0.2403846153846154,0.19419988673463182
0.338,0.2884615384615385,0.23243804584620323
0.338,0.33653846153846156,0.27018758377701213
0.338,0.38461538461538464,0.30727189802334076
0.338,0.4326923076923077,0.3435002190275349
0.338,0.4807692307692308,0.3787655318166128
0.338,0.5288461538461539,0.4131392706477511
0.338,0.576923076923077,0.4468020560581771
0.338,0.625,0.47979347326268074
0.338,0.6730769230769231,0.5117804340485544
0.338,0.7211538461538461,0.5422297262476844
0.338,0.7692307692307693,0.5709901207294107
0.338,0.8173076923076924,0.5985655082084032
0.338,0.8653846153846154,0.6254284860595584
0.338,0.9134615384615385,0.6511284791907975
0.338,0.9615384615384616,0.6747029303686747
0.338,1.0096153846153846,0.6961637718242368
0.338,1.0576923076923077,0.7165826265011541
0.338,1.1057692307692308,0.7361649542057535
0.338,1.153846153846154,0.753621995587411
0.338,1.201923076923077,0.7684117835973531
0.338,1.25,0.7818407616158125
0.338,1.27,0.7872571920079313
0.338,1.29,0.792482932379246
0.338,1.31,0.7973715162899121
0.338,1.33,0.8017793392680768
0.338,1.35,0.8056358992687204
0.338,1.37,0.8089615001260065
0.338,1.3900000000000001,0.8118735134408636
0.338,1.4100000000000001,0.8145291390933168
0.338,1.4300000000000002,0.8170591676660046
0.338,1.4500000000000002,0.8195082772110102
0.338,1.4700000000000002,0.8218175718328588
0.338,1.4900000000000002,0.823843244728648
0.338,1.5100000000000002,0.8254242572723843
0.338,1.53,0.8264495487193038
0.338,1.55,0.8269057904160516
0.338,1.57,0.8268841439611035
0.338,1.59,0.8265394671705087
0.338,1.61,0.8260214900880344
0.338,1.6300000000000001,0.825411550951479
0.338,1.6500000000000001,0.8246855965865545
0.338,1.6700000000000002,0.8237303151567016
0.338,1.6900000000000002,0.822393039564396
0.338,1.7100000000000002,0.8205415474435322
0.338,1.7300000000000002,0.8181285379122568
0.338,1.7500000000000002,0.8151997334573606
0.338,1.7700000000000002,0.8118797955804469
0.338,1.79,0.8083155937139316
0.338,1.81,0.8046120298081645
0.338,1.83,0.8008004101305108
0.338,1.85,0.7968236425465438
0.338,1.87,0.7925685409599967
0.338,1.8900000000000001,0.7879074483739624
0.338,1.9100000000000001,0.7827531507422812
0.338,1.9300000000000002,0.777085966734405
0.338,1.9500000000000002,0.7709631367903412
0.338,1.9700000000000002,0.7644859970406965
0.338,1.9900000000000002,0.7577697946355773
0.338,2.0100000000000002,0.7508936760626919
0.338,2.0300000000000002,0.7438848719111703
0.338,2.0500000000000003,0.7367111426176745
0.338,2.0700000000000003,0.7292985966598398
0.338,2.0900000000000003,0.7215568452976078
0.338,2.1100000000000003,0.7134159675397437
0.338,2.1300000000000003,0.7048439892823994
0.338,2.1500000000000004,0.6958509626311006
0.338,2.1700000000000004,0.6864911776545005
0.338,2.1900000000000004,0.6768328821947192
0.338,2.2100000000000004,0.6669474873148581
0.338,2.2300000000000004,0.6568862236118974
0.338,2.2500000000000004,0.6466688142491354
0.338,2.2700000000000005,0.6362881735655612
0.338,2.2900000000000005,0.6257102238536658
0.338,2.3100000000000005,0.6148942235813004
0.338,2.33,0.6037965660720568
0.338,2.3500000000000005,0.5923890388581691
0.338,2.37,0.5806598815347129
0.338,2.3900000000000006,0.5686158656047626
0.338,2.41,0.5562802865923978
0.338,2.4300000000000006,0.5436841158992772
0.338,2.45,0.5308606048734881
0.338,2.4700000000000006,0.5178413567804386
0.338,2.49,0.5046491860636575
0.338,2.5100000000000007,0.4912976321477924
0.338,2.5300000000000002,0.4777924837700063
0.338,2.5500000000000007,0.46413087584988755
0.338,2.5700000000000003,0.45030656306233385
0.338,2.5900000000000007,0.43631200509753576
0.338,2.6100000000000003,0.422139258514355
0.338,2.630000000000001,0.40778243163406
0.338,2.6500000000000004,0.3932408543050623
0.338,2.670000000000001,0.3785158494750319
0.338,2.6900000000000004,0.36361220026158203
0.338,2.710000000000001,0.34853849868884396
0.338,2.7300000000000004,0.33330392939417874
0.338,2.7500000000000004,0.31791901810236317
0.338,2.7700000000000005,0.3023951276311588
0.338,2.7900000000000005,0.28674225682029586
0.338,2.8100000000000005,0.2709710668309914
0.338,2.8300000000000005,0.2550904854649755
0.338,2.8500000000000005,0.23910887225605712
0.338,2.8700000000000006,0.22303395556084393
0.338,2.8900000000000006,0.20687272873865326
0.338,2.9100000000000006,0.19063181501876347
0.338,2.9300000000000006,0.1743172867589364
0.338,2.9500000000000006,0.1579351502724866
0.338,2.9700000000000006,0.1414915088011281
0.338,2.9900000000000007,0.12499223219718075
0.338,3.0100000000000007,0.10844338436434879
0.338,3.0300000000000007,0.0918512343554651
0.338,3.0500000000000007,0.07522212093065374
0.338,3.0700000000000007,0.05856237007654138
0.338,3.0900000000000007,0.04187843581338363
0.338,3.1100000000000008,0.02517721183826303
0.338,3.130000000000001,0.00846529102816641
0.338,3.150000000000001,-0.008250564195178178
0.338,3.170000000000001,-0.024963533071945973
0.338,3.1900000000000004,-0.041666842119213954
0.338,3.210000000000001,-0.05835374829919341
0.338,3.2300000000000004,-0.07501761769170948
0.338,3.250000000000001,-0.09165191325948038
0.338,3.270000000000001,-0.10825007816804894
0.338,3.290000000000001,-0.12480585434539053
0.338,3.310000000000001,-0.14131311275843453
0.338,3.330000000000001,-0.15776542676312375
0.338,3.350000000000001,-0.17415725572731605
0.338,3.370000000000001,-0.1904825795020004
0.338,3.3900000000000006,-0.20673503554888464
0.338,3.4100000000000006,-0.22290870976012364
0.338,3.4300000000000006,-0.23899743243052307
0.338,3.4500000000000006,-0.2549935900688642
0.338,3.4700000000000006,-0.2708901625860665
0.338,3.4900000000000007,-0.2866785104536402
0.338,3.5100000000000007,-0.3023497906967975
0.338,3.5300000000000007,-0.31789401427385494
0.338,3.5500000000000007,-0.3333011110131401
0.338,3.5700000000000007,-0.34855946048469577
0.338,3.5900000000000007,-0.3636584035194377
0.338,3.6100000000000008,-0.3785883406345419
0.338,3.630000000000001,-0.3933412182438455
0.338,3.650000000000001,-0.40791103107068544
0.338,3.670000000000001,-0.4222956077675337
0.338,3.690000000000001,-0.4364963240037502
0.338,3.710000000000001,-0.4505176846052932
0.338,3.730000000000001,-0.46436711262950714
0.338,3.750000000000001,-0.47805233076008163
0.338,3.770000000000001,-0.49158077163362823
0.338,3.790000000000001,-0.5049560774750554
0.338,3.810000000000001,-0.5181722598557027
0.338,3.830000000000001,-0.5312194621687839
0.338,3.850000000000001,-0.5440740867601497
0.338,3.870000000000001,-0.5567073305212864
0.338,3.890000000000001,-0.5690856890077367
0.338,3.910000000000001,-0.581175666054379
0.338,3.930000000000001,-0.5929543907192742
0.338,3.950000000000001,-0.6044109652910312
0.338,3.970000000000001,-0.6155540767998524
0.338,3.990000000000001,-0.6264107860083524
0.338,4.010000000000002,-0.6370215714699626
0.338,4.030000000000001,-0.6474294219809216
0.338,4.050000000000001,-0.6576696759933504
0.338,4.070000000000001,-0.6677545532589879
0.338,4.090000000000002,-0.6776689305236938
0.338,4.110000000000001,-0.6873655065658184
0.338,4.130000000000001,-0.6967763061128381
0.338,4.150000000000001,-0.7058292923941842
0.338,4.170000000000002,-0.7144693898980454
0.338,4.190000000000001,-0.7226750790512944
0.338,4.210000000000001,-0.7304729681200975
0.338,4.230000000000001,-0.7379302888625697
0.338,4.250000000000001,-0.7451345138810391
0.338,4.270000000000001,-0.7521645605743165
0.338,4.290000000000001,-0.759058628293289
0.338,4.3100000000000005,-0.7658028113348315
0.338,4.330000000000001,-0.7723228644453365
